,Text,Tokens,Labelled_topic
7,"I purchased this to use on my hair and it has done wonders for my hair. I purchased other brands after I purchased this brand and by far it's the best. I also eat a teaspoon of this everyday and it taste so yummy. If you are looking for coconut oil that tastes great and works wonders for your hair all at a good price, then this is the one for you. You will not be disappointed.  I just received my second order of Vitacost coconut oil. I love this stuff. I now use it for stir frying veggies, frying up burgers, i even fried chicken with this oil and it came out great. This brand by far beats all the other brands on the market in value and taste. And if you suffer from dry skin especially during the cold winter months, just whip this with some shea butter and apply to your skin. Your skin will thank you for it","['hair', 'wonder', 'hair', 'brand', 'brand', 'best', 'teaspoon', 'everyday', 'yummy', 'coconut', 'oil', 'wonder', 'hair', 'price', 'second', 'vitacost', 'coconut', 'oil', 'stuff', 'stir', 'veggie', 'burger', 'chicken', 'oil', 'brand', 'beat', 'brand', 'market', 'value', 'dry', 'skin', 'cold', 'winter', 'month', 'shea', 'butter', 'skin']",12
43,"These tomatoes seem very soft for dried tomatoes, which is great! They are also very flavorful. I've been using them in a coconut curry and I don't even bother soaking them to soften them, I just throw 5 of them (five halves) in the vita-mix with everything but the coconut milk, blend for a minute and then simmer together with the coconut milk. Delicious! I originally purchased these because I had some raw food recipes that called for quite a bit of dried tomatoes and these seem nearly perfect for that (the thing that makes them less than perfect to me is that they aren't organic) but 3 pounds is still so much I gave one bag to my boyfriend who thinks I'm weird for giving him a pound of dried tomatoes but once I give him the coconut curry recipe he'll be thanking me.  Oh, and the bags zip lock shut after they're opened, which is a nice touch.","['tomato', 'soft', 'tomato', 'flavorful', 'coconut', 'curry', 'throw', 'half', 'vita-mix', 'coconut', 'milk', 'blend', 'minute', 'coconut', 'milk', 'delicious', 'raw', 'food', 'recipe', 'bit', 'tomato', 'perfect', 'thing', 'perfect', 'organic', 'pound', 'bag', 'boyfriend', 'weird', 'pound', 'dried', 'tomato', 'coconut', 'curry', 'recipe', 'oh', 'bag', 'zip', 'lock', 'shut', 'touch']",12
64,"Noamally get a different brand at Costco, which is far superior to Keenan Farms.  Priced copetitively, but not good quaity, would not order again.","['different', 'brand', 'costco', 'superior', 'farm', 'quaity']",12
65,"As a hot chocolate lover, I was verrrrry disappointed when I tried this product. I first had the peppermint (disgusting) and then tried the dark chocolate (a little better). The problem is that you can REALLY taste the artifical sweetener. I am a diet soda drinker, so I don't have a problem with artifical sweetener. It's just that the taste was so strong in these hot chocolates that it overpowered the chocolate taste. I definitely will NOT buy again.... I would not recommend these to anyone.","['hot', 'chocolate', 'lover', 'disappointed', 'peppermint', 'disgusting', 'dark', 'little', 'better', 'problem', 'artifical', 'sweetener', 'diet', 'soda', 'drinker', 'problem', 'artifical', 'sweetener', 'strong', 'hot', 'chocolate', 'chocolate']",12
78,"Had this fabulous oil at my daughters wedding at Frankies in Brooklyn, NY... just had to order some. Extremely fast delivery and they even included a personal note.... highly recommend.","['fabulous', 'oil', 'daughter', 'frankies', 'brooklyn', 'ny', 'fast', 'delivery', 'personal', 'note']",12
86,My wife is now addicted to this.  She uses it to make her own style of salad dressing and of course it is great for making garlic bread.  This is too good.  We need to buy another one real soon.,"['wife', 'style', 'salad', 'course', 'garlic', 'bread', 'real']",12
93,"Lately I've been trying about 20 or more sauces to find just the right one that balances flavor and burn.  But, to put this into perspective, I really go for the insanely hot so this may need to be measured by that.  This sauce is not really that hot, but the taste is awesome.  It definately has heat, but doesn't really have much burn.  In short; if you want something that shames commercial pizza place hot wings in both heat and taste this is a great choice.  In fact I'm browsing the internet to see about ordering a case.  (for those days when I don't want my food to have the last highly pronounced word if you follow my meaning.)","['sauce', 'right', 'flavor', 'burn', 'perspective', 'insanely', 'hot', 'sauce', 'hot', 'awesome', 'heat', 'burn', 'short', 'commercial', 'pizza', 'place', 'hot', 'wing', 'heat', 'choice', 'fact', 'internet', 'case', 'day', 'food', 'word', 'meaning']",12
100,"I received these pistachios as a Christmas present. They are fantastic! I can't seem to stop eating them, and neither can anyone else in the family. My adult son had never tried pistachios before eating these, and now loves them, too. I will definitely be ordering more of these.","['pistachio', 'christmas', 'present', 'fantastic', 'family', 'adult', 'son', 'pistachio']",12
118,"I am a tuna snob!  This tuna is close in quality to the best tuna I have had and works well for making large qauntities when the best tuna is cost prohibitive.  I mix with cannelini beans, olive oil (generous amount) and chopped red onions for a great meal with greens or bread or both!","['tuna', 'snob', 'tuna', 'best', 'tuna', 'large', 'qauntities', 'best', 'tuna', 'prohibitive', 'cannelini', 'bean', 'olive', 'oil', 'generous', 'red', 'onion', 'meal', 'green', 'bread']",12
121,"I had coconut trees growing in my backyard in Southeast Asia, and enjoyed drinking coconut water right from the coconut itself. Taste Nirvana Real Coconut Water with Pulp is the closest to the real thing that I've found.","['coconut', 'tree', 'backyard', 'southeast', 'asia', 'drinking', 'coconut', 'water', 'right', 'coconut', 'nirvana', 'real', 'coconut', 'water', 'pulp', 'closest', 'real', 'thing']",12
131,"Pasta Knorr Sauce Parma Rosa Creamy Tomato / B000I2OOPW  Pardon me while I rave about how incredible this pasta mix is, but I'm just totally in love with this sauce. I love to eat pasta, but I am usually confined to the higher-fat alfredo sauces and cheese sauces because acidic tomato sauces irritate my acid reflux. That means no spaghetti and meatballs, which has been frustrating for me, but that's life, eh?  Then, while I was browsing the sauce aisle for Knorr alfredo packets, I found this Parma Rosa sauce. I have no idea what 'vodka sauce' is that the other reviewers reference, but whatever this is, it is GOOD. If I had to describe it, I'd call it a creamy tomato alfredo, but even though it is creamy, it is also very light and pleasing to taste, not cloying. The tomato taste is exquisite, and the acid content is low enough to prevent stomach pains. The taste itself is absolutely wonderful - I can actually talk myself out of impulse eating by promising myself Parma Rosa later - it's that good!  The Knorr sauces are fairly easy to make (the instructions are serious when they say to 'stir constantly', though, and I think it helps to preheat the milk before adding the powdered mix) and they store indefinitely in these dried packets (another reason to buy packets, besides the smaller carbon footprint in shipping versus jars!). Oh, and buying them on Amazon means I get them for half the price of the local market! For the Parma Rosa, I also add about a third of a pound of seasoned, browned ground beef as easy 'meatballs'. The portions are such that I can easily get two full meals out of one sauce packet, and the sauce stores perfectly in the fridge - this coming from a person who generally hates leftovers.  ~ Ana Mardoll","['pasta', 'knorr', 'sauce', 'parma', 'rosa', 'creamy', 'tomato', 'incredible', 'pasta', 'mix', 'love', 'sauce', 'pasta', 'higher-fat', 'alfredo', 'sauce', 'cheese', 'sauce', 'acidic', 'tomato', 'sauce', 'acid', 'reflux', 'spaghetti', 'meatball', 'life', 'eh', 'sauce', 'aisle', 'knorr', 'alfredo', 'packet', 'parma', 'rosa', 'sauce', 'idea', 'sauce', 'reviewer', 'creamy', 'tomato', 'alfredo', 'creamy', 'light', 'tomato', 'exquisite', 'acid', 'content', 'low', 'stomach', 'wonderful', 'impulse', 'eating', 'parma', 'rosa', 'knorr', 'sauce', 'easy', 'instruction', 'milk', 'powdered', 'mix', 'packet', 'reason', 'packet', 'smaller', 'carbon', 'footprint', 'versus', 'jar', 'mean', 'price', 'local', 'market', 'parma', 'rosa', 'pound', 'seasoned', 'ground', 'beef', 'easy', 'portion', 'meal', 'sauce', 'packet', 'sauce', 'store', 'fridge', 'person', 'leftover', 'mardoll']",12
136,"Oil is very pleasant to the palate Fruity with a distint olive taste, which is what I was looking for. Excellent product. Far superior to any Italian EVO I have tried.","['oil', 'pleasant', 'palate', 'fruity', 'distint', 'olive', 'excellent', 'superior', 'italian', 'evo']",12
169,"This product is very tasty but if you are also lactose intolerant, better forgo the pleasure.  Milk is not listed on the allergy advisory (May contain traces of...) but the ingredients section lists whole milk powder as a component of the chocolate coating.  Otherwise, it's a great product.","['lactose', 'intolerant', 'better', 'pleasure', 'milk', 'allergy', 'advisory', 'trace', 'ingredient', 'section', 'list', 'milk', 'powder', 'component', 'chocolate', 'coating']",12
171,"This Chipotle Sauce is very tasty, and it can be used with many different things. However I loved it the most with vegetarian meat (I'm a vegetarian, living healthy and all *grins*), and this sauce is amazing in a veggie sandwich, or with cooked vegetarian meat. However this sauce is very fattening, hence why I took one star out, it contains 11 grams of fat in 2 tbsp. So one needs to be careful to have it in very small portions, or make sure to have a good workout session after indulging in a good hearty meal containing this sauce.  Overall I love this Chipotle sauce, very tasty.","['chipotle', 'sauce', 'different', 'thing', 'vegetarian', 'meat', 'vegetarian', 'living', 'healthy', 'grin', 'sauce', 'veggie', 'sandwich', 'cooked', 'vegetarian', 'meat', 'sauce', 'fattening', 'star', 'gram', 'fat', 'tbsp', 'careful', 'small', 'portion', 'sure', 'workout', 'session', 'hearty', 'meal', 'sauce', 'overall', 'chipotle']",12
177,This stuff is great to make egg dishes special.  It does add a truffle scent but you must cut down on adding other salt.,"['stuff', 'egg', 'dish', 'special', 'truffle', 'scent', 'salt']",12
189,"This is a tasty G.F. product. I've been on a G.F. diet for 7 years so have tried a lot of different products and this is one I reorder. My only negative would be that it doesn't reheat well, but that's true of most G.F. pastas. Not a problem if more than one person is eating it. Nice to have some thing quick and easy to make that is still a hot meal and G.F.","['diet', 'year', 'lot', 'different', 'product', 'reorder', 'negative', 'true', 'pasta', 'problem', 'person', 'thing', 'quick', 'easy', 'hot', 'meal']",12
197,"I loved this bread.  Very tasty with a good texture and taste.  I tried making something similar from scratch and it didn't turn out anything like this bread.  Slices great warm or cold.  I bake for my boss and her family and they all voted a resounding ""Yes, we like this"" when I brought her in a loaf.  Freezes well and toasts up great either plain or with butter or cream cheese.  My boss ate hers with spaghetti after lightly toasting.  She said it was outstanding and wanted more (am I surprised, no).  Would highly recommend if you want a good Italian style bread.  I made mine in my horizonetal Wolfgang Puck breadmaker and used a crisp or dark crust setting.  I tried all other settings, light and medium and the bread came out great with a little different texture but still great nonetheless.","['bread', 'texture', 'similar', 'scratch', 'bread', 'warm', 'cold', 'bos', 'family', 'resounding', 'yes', 'loaf', 'plain', 'butter', 'cream', 'cheese', 'bos', 'ate', 'spaghetti', 'outstanding', 'italian', 'style', 'bread', 'horizonetal', 'wolfgang', 'puck', 'breadmaker', 'crisp', 'dark', 'crust', 'setting', 'light', 'medium', 'bread', 'little', 'different', 'texture']",12
