,Text,Tokens,Labelled_topic
16,"I found out about these from a co-worker. They are delicious, low calorie, and pack some protein. Eating these rather than my usual pretzels and chips helped me slim down. I get them by the case now from Amazon since it is a better buy (and my supermarket doesn't always carry them).","['co-worker', 'delicious', 'low', 'calorie', 'protein', 'usual', 'pretzel', 'chip', 'case', 'better', 'buy', 'supermarket']",2
27,I bought this for my 6yo sound to take to school for his birthday. He is really into space and since he is in kindergarten I wanted his first birthday treat at school to be super special. Everyone loved it and he had a really fun experience.,"['sound', 'school', 'birthday', 'space', 'kindergarten', 'birthday', 'treat', 'school', 'super', 'special', 'fun', 'experience']",2
53,"We travel to VA frequently. I used to buy these there as favors for neighbors and then have the hassle of getting them back home. Now I just order from Amazon to arrive on the day we get home - the price is much less and no shipping hassles. The quality is excellent, I've tried the Costco version and they are just not as good and nowhere near as good as Planters or others.","['favor', 'neighbor', 'hassle', 'home', 'price', 'shipping', 'excellent', 'costco', 'version', 'planter']",2
89,I bought this to make a sauce and it taste great gives a good flavor.  I really enjoyed it an it lasts a long time.,"['sauce', 'flavor', 'long', 'time']",2
100,"I received these pistachios as a Christmas present. They are fantastic! I can't seem to stop eating them, and neither can anyone else in the family. My adult son had never tried pistachios before eating these, and now loves them, too. I will definitely be ordering more of these.","['pistachio', 'christmas', 'present', 'fantastic', 'family', 'adult', 'son', 'pistachio']",2
105,"I have long haired dachshunds which like to dig out.  In the beginning the fido 525cs worked but was not powerful as it would not shock through the long haired coat of my dachshunds. They had to hit it with the face or shorter haired (skin exposed) underbelly areas in order to get a good reaction on them. I had the fido 525cs set up for maybe 2 months before it stopped working completely and the dogs were back to getting out again.  No, it did not get wet as my husband built a wood box for the charger ""house"" of protection.  It just stopped working and by that time I had thrown away my receipt which was from a small garden center on an old type register so that it didn't list the product name anyway.  Thus no warranty proof nor refund available.  I am looking for a better quality charger which will hit harder through the long haired coat. I have had stronger chargers which worked better and lasted longer than this model the fido 525cs.","['dachshund', 'fido', 'powerful', 'long', 'haired', 'coat', 'dachshund', 'face', 'shorter', 'skin', 'area', 'reaction', 'fido', 'month', 'dog', 'wet', 'husband', 'wood', 'box', 'charger', 'house', 'protection', 'time', 'receipt', 'small', 'garden', 'center', 'old', 'type', 'register', 'warranty', 'proof', 'refund', 'available', 'better', 'charger', 'long', 'haired', 'coat', 'stronger', 'charger', 'longer', 'model', 'fido']",2
108,"i love this butter. it's better than regular butter and makes eggs or anything else taste great. Plus it's organic with higher levels of Conjugated Linoleic Acid (CLA). A must in every home, i think","['butter', 'better', 'regular', 'butter', 'egg', 'higher', 'level', 'linoleic', 'acid', 'cla', 'home']",2
114,"I have CHF with cardiomyopathy.  I have to limit my sodium to under 2,000 mg per day.  Because of great products like this ketchup - I can do that pretty easily most days!  My CardioElectroPhysicist had never heard of no-salt ketchup, he thinks it's great!  Heinz no-salt ketchup tastes wonderful!  It has a slightly stonger tomato flavor, but I wouldn't have guessed it was no-salt.  I use it for homemade BBQ sauce, french fries, etc - it's awesome!  Highly recommended.","['cardiomyopathy', 'sodium', 'mg', 'product', 'ketchup', 'day', 'cardioelectrophysicist', 'no-salt', 'ketchup', 'heinz', 'no-salt', 'ketchup', 'taste', 'stonger', 'tomato', 'flavor', 'no-salt', 'homemade', 'bbq', 'french', 'fry', 'awesome']",2
135,"Works well, taste is good, about to order a new box.  If you are a diabetic this is nice to have around the house or office.","['work', 'new', 'box', 'diabetic', 'house', 'office']",2
167,"Plant was dead on arrival and was mangled in its container, probably better to buy one locally. I dont think its gonna make it....","['plant', 'dead', 'arrival', 'container', 'dont', 'gon']",2
208,"I got a call from my mother-in-law last night thanking me for her birthday present I ordered here. She thanked me for the surprise and also had to comment how terrible they tasted. She asked me if it was supposed to be a joke on her. I said no and felt bad a 93 year old lady ate some bad jelly beans.  Won't buy again,  Steve Baker","['mother-in-law', 'night', 'birthday', 'present', 'surprise', 'terrible', 'joke', 'bad', 'old', 'lady', 'bad', 'bean', 'steve', 'baker']",2
213,"No aftertaste, isn't overpowering, doesn't mask the flavor of the food. We use this on our steel cut oats and protein drinks, no bitter aftertaste like the powders.","['aftertaste', 'flavor', 'food', 'steel', 'cut', 'oat', 'protein', 'drink', 'bitter', 'aftertaste', 'powder']",2
221,"Saw this on Oprah's favorite things and thought it would make a great little Christmas gift for my friends that love cooking as much as I do. Since they come in packages of three, I kept one and gave two away. I couldn't open mine to clean it, so my husband had to open it and he had a hard time. I thought it was just too tight from the factory. My basil looked great after ten days. But when I went to use the basil, I could not open the pod. Husband not home...neighbor not home...dog missing thumbs. I tried lightly rapping it against the counter edge and the seam cracked right down the middle. (Okay, maybe a little harder than 'lightly,' I was pretty frustrated.) Luckily I had emptied the water, so I only had a small mess to clean up. The pod went into the garbage...forcefully. I checked with my friends. Friend #1 had the same problem and her pod is now a rooting capsule for plant clippings because she had to throw away the clear cover...it also broke when she squeezed the pod to try to open it. Friend #2 has now been warned. There were no special tips included on how to open the pod and judging from comments I've read, we're not the only ones who have had this problem. I think this was designed by the same guy that invented the  security wrapping/tape on music CDs! I've gone back to my old method...a wide-mouth mayo jar with pretty hair band holdingdown a circle of fabric...it works!","['saw', 'oprah', 'favorite', 'thing', 'little', 'christmas', 'gift', 'friend', 'package', 'husband', 'hard', 'time', 'tight', 'factory', 'basil', 'day', 'basil', 'pod', 'husband', 'neighbor', 'home', 'dog', 'thumb', 'counter', 'edge', 'seam', 'middle', 'okay', 'little', 'harder', 'frustrated', 'water', 'small', 'mess', 'pod', 'garbage', 'friend', 'problem', 'pod', 'rooting', 'capsule', 'plant', 'clipping', 'clear', 'cover', 'pod', 'special', 'tip', 'pod', 'judging', 'comment', 'one', 'problem', 'guy', 'security', 'music', 'cd', 'old', 'method', 'wide-mouth', 'mayo', 'jar', 'pretty', 'hair', 'circle', 'fabric']",2
263,"I was surprised about how good this was my family and friends laughed when I told them I bought this. But out of the can ready mix with a little salt, pepper, spinach, and some cheese and it's a great easy meal!","['family', 'friend', 'little', 'salt', 'spinach', 'cheese', 'easy', 'meal']",2
