,Text,Tokens,Labelled_topic
4,These are good chips.  I like the texture and that they are easier to chew than regular tortilla chips.  Especially good with some salsa.,"['chip', 'texture', 'tortilla', 'chip', 'salsa']",9
21,Bought this in the Maui Costco and thought it tasted so great we dragged home the unfinished huge bag of oatmeal.  Went to our local Costco and they did not sell it but another type of cut oatmeal which is not nearly as good and a different texture.  This is a fine tasting healthy oatmeal.,"['maui', 'costco', 'home', 'bag', 'costco', 'type', 'cut', 'oatmeal', 'texture', 'tasting', 'oatmeal']",9
23,"I love popchips, The bag now has only 100 calories. and it bit smaller but If you are craving pop chips without the fat and still taste great. These are for you. A bit pricey but worth it.","['bag', 'calorie', 'pop', 'chip', 'fat', 'bit']",9
38,Not happy with the product.  Once they were cooked the potatoes were flat and didn't look any thing like the product picture that was seen.  The shipping cost as much as the potatoes did!,"['potato', 'thing', 'picture', 'shipping', 'cost', 'potato']",9
45,The Lowrey's Microwave Pork rinds that I received was unacceptable.  I ordered 36 bags and the bags only popped 1/4 of the bag.  All rinds popped but for the amount of the money that I paid for them I could have gone to the store and bought a $2.00 bag already popped and gotten a full bag.  I feel that it should have popped at least half of the bag.  I understand that everyone is counting their pennies but I also think that the consumer should get something for their money.  I really enjoy this product but I probably will not order any more for this reason.,"['lowrey', 'pork', 'rind', 'bag', 'bag', 'bag', 'rind', 'money', 'store', 'bag', 'bag', 'half', 'bag', 'penny', 'consumer', 'money', 'reason']",9
51,"Bought these to try some new recipies, but have found they are quite tasty straight out of the can, chopped up in my salad!","['recipies', 'salad']",9
58,"We were pleased with this salt. It's actually more salty than regular salt, even kosher salt or sea salt.  A little bit goes a long way!  I don't usually cook with it, but add it to things afterwards. I've been hand grinding it.","['salt', 'salt', 'salt', 'sea', 'bit', 'way', 'thing', 'hand']",9
64,"Noamally get a different brand at Costco, which is far superior to Keenan Farms.  Priced copetitively, but not good quaity, would not order again.","['brand', 'costco', 'farm', 'quaity']",9
70,"Great flavors and crunchiness.  Sometimes gluten free food can be bland, but these are really flavorful.  This is also a great buy if you compare only buying one bag of these to the variety that you get.","['flavor', 'crunchiness', 'food', 'buy', 'bag', 'variety']",9
85,"I tried these and wanted to like them, but just couldn't.  They did not seem to ""pop"" very well (a lot of wasted product in the bag) and they didn't taste very good.  I will not be buying these again.","['lot', 'bag']",9
