,Text,Tokens,Labelled_topic
19,"Had a box of their garlic sticks, and really enjoyed the quality and satisfying feeling from eating them. Wanted to try a new flavor, and the sesame is quite addicting!! Only 2 Weight Watchers points for 4 incredible sticks. These are made in Italy. Expect many of the breadsticks to be broken, but don't let this stop you from trying this premium brand!","['box', 'garlic', 'stick', 'new', 'flavor', 'sesame', 'watcher', 'point', 'incredible', 'stick', 'italy', 'breadstick', 'premium', 'brand']",2
22,Does anyone realize tocopherol usually comes from soy? I'm still hunting for a cracker I don't have to make. Their website is unclear about it's source.,"['tocopherol', 'soy', 'cracker', 'website', 'unclear', 'source']",2
27,I bought this for my 6yo sound to take to school for his birthday. He is really into space and since he is in kindergarten I wanted his first birthday treat at school to be super special. Everyone loved it and he had a really fun experience.,"['sound', 'school', 'birthday', 'space', 'kindergarten', 'birthday', 'treat', 'school', 'super', 'special', 'fun', 'experience']",2
62,"I love this drink. Squeeze a bit into water, lemonade , or club soda. This tastes great. I found it to have a fruit taste a little sweet, and the best part you do not have to use a lot. I found it out to be  better then the Mio. Fits in my bag, no more pricey drinks at stores no more. A few drops and I have a refreshing drink. Everyone in my family really enjoyed it as well.","['drink', 'bit', 'water', 'lemonade', 'club', 'soda', 'fruit', 'little', 'sweet', 'best', 'lot', 'better', 'mio', 'bag', 'pricey', 'drink', 'store', 'drop', 'refreshing', 'drink', 'family']",2
100,"I received these pistachios as a Christmas present. They are fantastic! I can't seem to stop eating them, and neither can anyone else in the family. My adult son had never tried pistachios before eating these, and now loves them, too. I will definitely be ordering more of these.","['pistachio', 'christmas', 'present', 'fantastic', 'family', 'adult', 'son', 'pistachio']",2
108,"i love this butter. it's better than regular butter and makes eggs or anything else taste great. Plus it's organic with higher levels of Conjugated Linoleic Acid (CLA). A must in every home, i think","['butter', 'better', 'regular', 'butter', 'egg', 'higher', 'level', 'linoleic', 'acid', 'cla', 'home']",2
114,"I have CHF with cardiomyopathy.  I have to limit my sodium to under 2,000 mg per day.  Because of great products like this ketchup - I can do that pretty easily most days!  My CardioElectroPhysicist had never heard of no-salt ketchup, he thinks it's great!  Heinz no-salt ketchup tastes wonderful!  It has a slightly stonger tomato flavor, but I wouldn't have guessed it was no-salt.  I use it for homemade BBQ sauce, french fries, etc - it's awesome!  Highly recommended.","['cardiomyopathy', 'sodium', 'mg', 'product', 'ketchup', 'day', 'cardioelectrophysicist', 'no-salt', 'ketchup', 'heinz', 'no-salt', 'ketchup', 'taste', 'stonger', 'tomato', 'flavor', 'no-salt', 'homemade', 'bbq', 'french', 'fry', 'awesome']",2
179,"I purchased this item to celebrate the birth of my grandson.  I should have opted for real cigars, they might have tasted better. These cigars were very hard and hurt my teeth to chew. Not to mention that these gum cigars were much too sweet.","['item', 'birth', 'grandson', 'real', 'cigar', 'better', 'cigar', 'hard', 'teeth', 'gum', 'cigar', 'sweet']",2
263,"I was surprised about how good this was my family and friends laughed when I told them I bought this. But out of the can ready mix with a little salt, pepper, spinach, and some cheese and it's a great easy meal!","['family', 'friend', 'little', 'salt', 'spinach', 'cheese', 'easy', 'meal']",2
274,These are tasty.  Great Strawberry flavor.  Nice and crisp and only 100 calories.  I buy these on the subscription plan to save even more money.  I even ship these to my daughters!,"['strawberry', 'flavor', 'crisp', 'calorie', 'subscription', 'plan', 'money', 'daughter']",2
