,Text,Tokens,Labelled_topic
29,I purchased 6 boxes as gifts at $21 per box.  I spent over $120.00 and none could be used.  Every piece was broken and could not be used for the Seder.  Sending a gift that is broken and can't be used is very embarrassing.  Also the return window is April 18th which is ridiculous since the matzo was for the first Seder which was on April 18th at night.,"['box', 'gift', 'box', 'piece', 'seder', 'gift', 'return', 'window', 'april', 'ridiculous', 'matzo', 'seder', 'april', 'night']",10
32,"This product had pretty good reviews so I thought it would be safe to buy 4 packages, so I did. Boy am I full of regret now. I'm stuck with 4 packs of these beans and I can't return any them. The moment I opened the bag, I should've known. It had a stale sour smell to them. But the optimistic side of me said, these beans look fresh and plump, maybe it won't smell like that once I scrape the seeds out. I was wrong. I made two test batches to see if it was the salt I was using to make my vanilla salt but they both have that weird sour, rancid smell. I've made vanilla salt before so I know what it's supposed to smell and taste like. Unfortunately, even after a few days, this smell isn't going away. I was really looking forward to making jars of vanilla salt to give out as cheap gifts. But now I need to go buy more vanilla beans to replace these which is going to end up costing me. I'm so disappointed. I haven't cooked with these seeds so I don't know if the taste and smell transforms with heat or with any other mixed in ingredient. I know for sure though that if you're looking to make vanilla extract, vanilla sugar or vanilla salt, I HIGHLY discourage you from buying this product.","['review', 'safe', 'package', 'regret', 'pack', 'bean', 'moment', 'bag', 'stale', 'sour', 'smell', 'optimistic', 'bean', 'fresh', 'plump', 'maybe', 'seed', 'wrong', 'test', 'batch', 'salt', 'vanilla', 'salt', 'sour', 'rancid', 'smell', 'vanilla', 'salt', 'day', 'smell', 'jar', 'vanilla', 'salt', 'cheap', 'gift', 'vanilla', 'bean', 'disappointed', 'seed', 'smell', 'transforms', 'heat', 'mixed', 'ingredient', 'sure', 'vanilla', 'extract', 'vanilla', 'sugar', 'vanilla', 'salt']",10
96,"I have been making wonderful homemade vanilla with a recipe that I found on line using vanilla beans purchased from Williams Sonoma. I decided to try Spicy World Vanilla Beans rather than the much more expensive vanilla beans from Williams Sonoma.  Two vanilla beans from Williams Sonoma in a pint of vodka resulted in a very dark richly aromatic vanilla after only two months.  I used three Spicy World vanilla beans in a pint of vodka and after two months I had a liquid that looked like weak tea and had the aroma of alcohol.  I added three more beans and waited.  The results were disappointing, so I added three more vanilla beans.  You can still see through the vanilla and it doesn't have the aroma of vanilla.  I am completely disappointed with the vanilla beans from Spicy World.  They are totally worthless, a complete waste of money.  I would not recommend them or purchase anything from Spicy World.","['wonderful', 'homemade', 'vanilla', 'recipe', 'line', 'vanilla', 'bean', 'williams', 'sonoma', 'spicy', 'world', 'vanilla', 'bean', 'expensive', 'vanilla', 'bean', 'williams', 'sonoma', 'vanilla', 'bean', 'williams', 'sonoma', 'pint', 'vodka', 'dark', 'aromatic', 'vanilla', 'month', 'spicy', 'world', 'vanilla', 'bean', 'pint', 'vodka', 'month', 'liquid', 'weak', 'tea', 'aroma', 'alcohol', 'bean', 'result', 'vanilla', 'vanilla', 'aroma', 'vanilla', 'disappointed', 'vanilla', 'bean', 'spicy', 'world', 'worthless', 'complete', 'waste', 'money', 'spicy', 'world']",10
101,"I was very impressed with the quality of the vanilla beans I received. Not only were they at least 60% less expensive than the beans in grocery/specialty stores, but the beans were plump and very flavorful. I also received my order very quickly (sooner than the seller stated). I will definitely be back to buy my next batch of vanilla beans here.","['impressed', 'vanilla', 'expensive', 'bean', 'store', 'bean', 'plump', 'flavorful', 'sooner', 'seller', 'batch', 'vanilla', 'bean']",10
102,"Great to have a sugar that tastes great, cooks with everything, and has not yet been cooped by the GMO crowd of producers.  We'll order again, and enjoyed the speedy delivery.  We wish this came in larger bags, for truly bulk orders.  25 lbs bags would be great.","['sugar', 'cook', 'gmo', 'crowd', 'producer', 'speedy', 'delivery', 'larger', 'bag', 'truly', 'bulk', 'order', 'bag']",10
137,"I have ordered these types of chocolates before(Weinbrand Bohnen Brandy Chocolates) and these were fantastic, they had great flavor,were very fresh(sometimes they dry up if they are older),and were the perfect size(some larger ones are too big and the liquid can run if not all in your mouth),the chocolate as well as the brandy were of high quality and very tasty... Also the price was great for as many that were in the package... I ordered these very close to the holiday and they arrived earlier than expected!","['type', 'chocolate', 'weinbrand', 'bohnen', 'brandy', 'chocolate', 'fantastic', 'flavor', 'fresh', 'older', 'perfect', 'size', 'larger', 'one', 'big', 'liquid', 'mouth', 'chocolate', 'brandy', 'high', 'price', 'package', 'holiday']",10
148,"this has a great taste, is good on mufins or toast, also great on vanilla ice cream. excellent! Will buy again","['mufins', 'toast', 'vanilla', 'ice', 'cream', 'excellent']",10
174,These bean are wonderful. They are very moist and smell amazing!I started making a batch of homemade vanilla extract and the color is already a dark amber; only after a few days! Will definetly buy again!!!!,"['bean', 'wonderful', 'moist', 'smell', 'amazing', 'batch', 'homemade', 'vanilla', 'extract', 'color', 'dark', 'amber', 'day']",10
192,"Good value, easy to dispense and they taste great.  My husband has them for a snack every day and has me reorder when they start getting down.  He wants them on hand.","['value', 'easy', 'husband', 'snack', 'hand']",10
206,"Adds flavor to all sorts of dishes.  Great for deviled eggs, mix with the yoke filler and top it off with a slice of jalepeno.","['flavor', 'sort', 'dish', 'egg', 'yoke', 'filler', 'slice', 'jalepeno']",10
