,Text,Tokens,Labelled_topic
2,I just brewed my first cup and the aroma and flavor both speak of autumn and harvest.  I LOVE the flavor.  I would highly recommend this herbal tea.,"['cup', 'aroma', 'flavor', 'speak', 'autumn', 'harvest', 'flavor', 'herbal', 'tea']",0
3,"It taste okay, but they are  not soft and the taste doesn't stay very long. I wouldn't buy them again.","['okay', 'soft']",0
18,I drink a lot of teas and tisanes so I like to try different kinds from time to time. I've been drinking this for a few weeks and it's fantastic. Even before I brewed this I knew it was going to be good just from the aroma. (Actually it would make a great potpourri on its own.) It brews up a nice deep color with a good flavor. I highly recommend this.,"['lot', 'tea', 'tisane', 'different', 'kind', 'time', 'time', 'week', 'fantastic', 'aroma', 'potpourri', 'deep', 'color', 'flavor']",0
23,"I love popchips, The bag now has only 100 calories. and it bit smaller but If you are craving pop chips without the fat and still taste great. These are for you. A bit pricey but worth it.","['bag', 'calorie', 'smaller', 'pop', 'chip', 'fat', 'bit', 'pricey', 'worth']",0
26,"If you're looking at Choice tea, you're probably already aware that this extraordinary company was a pioneer in the use of organic, fair trade ingredients for tea.  But Choice is also innovative both in design and in creative ingredient combinations. As for design, Lychee White is part of Choice's new line, characterized by an innovative biodegradable pyramid-shaped tea bag which allows for the use of regular loose tea leaves. As for creative ingredient combinations, this healthy white tea is enhanced by the ethereal marriage of natural lychee flavor and sublime organic osmanthus blossoms. The flavor and scent is one to savor and celebrate.","['choice', 'tea', 'aware', 'extraordinary', 'company', 'pioneer', 'use', 'organic', 'fair', 'trade', 'ingredient', 'tea', 'choice', 'innovative', 'design', 'creative', 'ingredient', 'combination', 'design', 'lychee', 'white', 'choice', 'new', 'line', 'innovative', 'biodegradable', 'pyramid-shaped', 'tea', 'bag', 'use', 'regular', 'loose', 'tea', 'creative', 'ingredient', 'combination', 'healthy', 'white', 'tea', 'ethereal', 'marriage', 'natural', 'lychee', 'flavor', 'sublime', 'organic', 'osmanthus', 'flavor', 'scent']",0
38,Not happy with the product.  Once they were cooked the potatoes were flat and didn't look any thing like the product picture that was seen.  The shipping cost as much as the potatoes did!,"['happy', 'potato', 'flat', 'thing', 'picture', 'shipping', 'cost', 'potato']",0
45,The Lowrey's Microwave Pork rinds that I received was unacceptable.  I ordered 36 bags and the bags only popped 1/4 of the bag.  All rinds popped but for the amount of the money that I paid for them I could have gone to the store and bought a $2.00 bag already popped and gotten a full bag.  I feel that it should have popped at least half of the bag.  I understand that everyone is counting their pennies but I also think that the consumer should get something for their money.  I really enjoy this product but I probably will not order any more for this reason.,"['lowrey', 'pork', 'rind', 'unacceptable', 'bag', 'bag', 'bag', 'rind', 'money', 'store', 'bag', 'bag', 'half', 'bag', 'penny', 'consumer', 'money', 'reason']",0
64,"Noamally get a different brand at Costco, which is far superior to Keenan Farms.  Priced copetitively, but not good quaity, would not order again.","['different', 'brand', 'costco', 'superior', 'farm', 'quaity']",0
74,"I tried a pack randomly today at Starbucks.  I wanted something different from the banana bread or chocolate-covered graham crackers that I would otherwise buy.  This is some solid trail mix.  I highly recommend.  As a matter of fact, I am on amazon now to buy more of it so I can let friends try.","['pack', 'today', 'starbucks', 'different', 'banana', 'bread', 'chocolate-covered', 'graham', 'cracker', 'solid', 'trail', 'mix', 'matter', 'fact', 'friend']",0
75,I love the strength and taste of PG Tips. I grew up in England drinking this tea - and when I came to America in 2001 I just could not drink the weak tasteless tea that was being sold on the supermarket shelves - I have introduced my wife and friends to this tea - they now can't drink anything else!,"['strength', 'pg', 'tip', 'england', 'drinking', 'tea', 'weak', 'tasteless', 'tea', 'supermarket', 'shelf', 'wife', 'tea']",0
