,Text,Tokens,Labelled_topic
7,"I purchased this to use on my hair and it has done wonders for my hair. I purchased other brands after I purchased this brand and by far it's the best. I also eat a teaspoon of this everyday and it taste so yummy. If you are looking for coconut oil that tastes great and works wonders for your hair all at a good price, then this is the one for you. You will not be disappointed.  I just received my second order of Vitacost coconut oil. I love this stuff. I now use it for stir frying veggies, frying up burgers, i even fried chicken with this oil and it came out great. This brand by far beats all the other brands on the market in value and taste. And if you suffer from dry skin especially during the cold winter months, just whip this with some shea butter and apply to your skin. Your skin will thank you for it","['hair', 'wonder', 'hair', 'brand', 'brand', 'best', 'teaspoon', 'everyday', 'yummy', 'coconut', 'oil', 'wonder', 'hair', 'price', 'second', 'vitacost', 'coconut', 'oil', 'stuff', 'stir', 'veggie', 'burger', 'chicken', 'oil', 'brand', 'beat', 'brand', 'market', 'value', 'dry', 'skin', 'cold', 'winter', 'month', 'shea', 'butter', 'skin']",8
13,"I've found this to be a good sweetener. I have to use more than they say (about 10 drops when I'm using lemon), but I use extra packet sweetener, too. Very happy. I'll just have to figure out how many ""servings"" I get from a bottle, but I'm guessing it's more economical than the stevia products I get at the grocery store.","['sweetener', 'drop', 'lemon', 'extra', 'packet', 'sweetener', 'happy', 'serving', 'bottle', 'economical', 'stevia', 'product', 'grocery', 'store']",8
14,These taste fantastic!! And Amazon sells them for a less expensive price than my local health food store! Thank you Amazon!,"['fantastic', 'expensive', 'price', 'local', 'health', 'food', 'store', 'thank']",8
17,"My husband and I love to cook.  Jarred sun-dried tomatoes available in our area grocery stores have been a disappointment.  Not these! Flavorful and easy to use in a variety of dishes.  The flavor is a burst of summer sweetness. Often, these are eaten as ""chef's treats"" during cooking.  Price is more than fair.  I will keep  these on hand always.","['husband', 'jarred', 'sun-dried', 'tomato', 'available', 'area', 'grocery', 'store', 'disappointment', 'flavorful', 'easy', 'variety', 'dish', 'flavor', 'burst', 'summer', 'sweetness', 'chef', 'treat', 'cooking', 'price', 'fair', 'hand']",8
22,Does anyone realize tocopherol usually comes from soy? I'm still hunting for a cracker I don't have to make. Their website is unclear about it's source.,"['tocopherol', 'soy', 'cracker', 'website', 'unclear', 'source']",8
25,"You can by at Kroger at half the price. Used to be cheaper before recent price hike, just continued from innertia to order until payed attention, people be careful!","['kroger', 'price', 'cheaper', 'recent', 'price', 'hike', 'innertia', 'payed', 'attention', 'people', 'careful']",8
29,I purchased 6 boxes as gifts at $21 per box.  I spent over $120.00 and none could be used.  Every piece was broken and could not be used for the Seder.  Sending a gift that is broken and can't be used is very embarrassing.  Also the return window is April 18th which is ridiculous since the matzo was for the first Seder which was on April 18th at night.,"['box', 'gift', 'box', 'piece', 'seder', 'gift', 'return', 'window', 'april', 'ridiculous', 'matzo', 'seder', 'april', 'night']",8
31,At the Hodgson Mill website they are seling a case of 6 for the same price.  talk about rip-offs.,"['hodgson', 'case', 'price', 'talk', 'rip-off']",8
47,I needed some of these in a rush and ordered online. There is no difference between this and the ones I get in the store locally except the price which is 10 times more.,"['rush', 'online', 'difference', 'one', 'store', 'price', 'time']",8
49,"I was a little bit hesitant to order this many boxes of potato dumplings without knowing the brand. It turns out that the taste and texture is very similar to the brand names,excellent! For an off-brand the price is too high, but altogether a great product for those who miss their Knoedel on the plate next to the roast and gravy!","['little', 'bit', 'hesitant', 'box', 'potato', 'dumpling', 'brand', 'texture', 'similar', 'brand', 'name', 'price', 'high', 'knoedel', 'plate', 'roast', 'gravy']",8
53,"We travel to VA frequently. I used to buy these there as favors for neighbors and then have the hassle of getting them back home. Now I just order from Amazon to arrive on the day we get home - the price is much less and no shipping hassles. The quality is excellent, I've tried the Costco version and they are just not as good and nowhere near as good as Planters or others.","['favor', 'neighbor', 'hassle', 'home', 'price', 'shipping', 'excellent', 'costco', 'version', 'planter']",8
58,"We were pleased with this salt. It's actually more salty than regular salt, even kosher salt or sea salt.  A little bit goes a long way!  I don't usually cook with it, but add it to things afterwards. I've been hand grinding it.","['pleased', 'salt', 'salty', 'regular', 'salt', 'salt', 'sea', 'little', 'bit', 'long', 'way', 'thing', 'hand']",8
59,This is the best pre-packaged Wasabi I have found. It has a great texture too. I only buy this now that a friend recommended it and I tried it.wa,"['best', 'pre-packaged', 'wasabi', 'texture', 'friend']",8
60,"I love Oreos, especially these new fudge ones. They're now my favorite. I've tried both the mint and the peanut butter versions now, and while the peanut butter are good, the mint is still my favorite. That being said, these aren't bad at all. I still very much enjoyed them. My two kids (5 year old boy and 2 year old girl) both loved them as well. Whenever they could, they were begging for these cookies. In my mind, that's a good sign. If you've got a kid begging for these, you've got a pretty good product.  My one disappointment is that it's not the full cookie. It's just half of it. Maybe they've done that to cut costs, but, as I recall, there was a similar Oreo product at one time that offered the full cookie. Either way, still worth it, and definitely a cookie I'd recommend.","['oreo', 'new', 'fudge', 'one', 'favorite', 'mint', 'peanut', 'butter', 'version', 'peanut', 'butter', 'mint', 'favorite', 'bad', 'kid', 'old', 'boy', 'old', 'girl', 'cooky', 'mind', 'sign', 'kid', 'disappointment', 'cookie', 'half', 'cost', 'similar', 'oreo', 'time', 'cookie', 'way', 'cookie']",8
64,"Noamally get a different brand at Costco, which is far superior to Keenan Farms.  Priced copetitively, but not good quaity, would not order again.","['different', 'brand', 'costco', 'superior', 'farm', 'quaity']",8
66,These are fantastic! They are a good price for what you get. I made sugar cookies and the kids drew on them.,"['fantastic', 'price', 'sugar', 'cooky', 'kid']",8
67,"This product is well worth the money.  Others carry a similar product that's cheaper, but the quality is way cheaper also.","['money', 'similar', 'cheaper', 'way', 'cheaper']",8
68,"I'm of Russian descent and have been eating buckwheat for my entire life. I live in the US and usually buy buckwheat in local Russian or Eastern European stores. This is the first (and last) time I tried American-made buckwheat. Here are things that I found.  1. It takes only 10-12 min to cook this. Normally, it takes 25-30 min. And this item is not branded as an ""instant buckwheat""  2. It tastes quite different than ""usual""  3. There is a strong metallic smell  4. This item is overpriced. Just go to the closest Russian or Eastern European shop and buy the same thing 4 times cheaper.","['russian', 'descent', 'buckwheat', 'entire', 'life', 'buckwheat', 'local', 'russian', 'eastern', 'european', 'store', 'time', 'american-made', 'buckwheat', 'thing', '10-12', 'min', '25-30', 'min', 'item', 'instant', 'buckwheat', 'different', 'usual', 'strong', 'metallic', 'smell', 'item', 'closest', 'russian', 'eastern', 'european', 'shop', 'thing', 'time']",8
78,"Had this fabulous oil at my daughters wedding at Frankies in Brooklyn, NY... just had to order some. Extremely fast delivery and they even included a personal note.... highly recommend.","['fabulous', 'oil', 'daughter', 'frankies', 'brooklyn', 'ny', 'fast', 'delivery', 'personal', 'note']",8
80,One of the few soy milks my slightly milk allergic kids will drink consistently.  Easy to carry and just the right amount per box.  Price on Amazon is quite a bit cheaper than the pice in our local stores.,"['soy', 'milk', 'allergic', 'kid', 'easy', 'right', 'box', 'price', 'bit', 'cheaper', 'pice', 'local', 'store']",8
81,"Great quality, great price!  I'm using this after my workouts instead of sugary Gatorade or similar.  You can even mix in some whey powder after resistance training for an added protein boost -- tastes great.  Organic too... this is the best deal I've found on coconut water so far.","['price', 'workout', 'sugary', 'gatorade', 'similar', 'whey', 'resistance', 'training', 'added', 'protein', 'boost', 'organic', 'best', 'deal', 'coconut', 'water']",8
83,Living in the city it is hard to find pectin at the local grocery so this is a great price and delivered right to my door!,"['living', 'city', 'hard', 'pectin', 'local', 'grocery', 'price', 'door']",8
84,I have been eating Medifast meals for a year.  Medifast changed the recipe to their pretzels and they were not as good. To my surprise the cinnamon pretzel that Kay's is a good if not better than Medifast and cost have the price.  The calories and protein were important factor and are pretty much the same based on ounces.,"['medifast', 'meal', 'recipe', 'pretzel', 'surprise', 'cinnamon', 'pretzel', 'kay', 'better', 'medifast', 'cost', 'price', 'calorie', 'protein', 'important', 'factor', 'ounce']",8
86,My wife is now addicted to this.  She uses it to make her own style of salad dressing and of course it is great for making garlic bread.  This is too good.  We need to buy another one real soon.,"['wife', 'style', 'salad', 'course', 'garlic', 'bread', 'real']",8
91,"I am not a health nut and I had to keep an open mind with this product... but once I tried it it actually tasted really good. Just a tip, don't eat it by itself (not good). Try it with smoked salmon and cream cheese or make an avocado and turkey sandwich. Also toasting it for a few minutes will soften it a bit.","['health', 'nut', 'open', 'mind', 'tip', 'smoked', 'salmon', 'cream', 'cheese', 'avocado', 'turkey', 'sandwich', 'minute', 'bit']",8
95,"It's Splenda, and at a good price.  Forget about the individual packets, the cost will kill you.  If you use the product, this is the way to buy it.","['price', 'forget', 'individual', 'cost', 'way']",8
98,"The pricing is quite a bit higher than in the grocery stores.  It is not available in all stores, but I have found it conveniently enough for my purposes.","['pricing', 'bit', 'higher', 'grocery', 'store', 'available', 'store', 'purpose']",8
100,"I received these pistachios as a Christmas present. They are fantastic! I can't seem to stop eating them, and neither can anyone else in the family. My adult son had never tried pistachios before eating these, and now loves them, too. I will definitely be ordering more of these.","['pistachio', 'christmas', 'present', 'fantastic', 'family', 'adult', 'son', 'pistachio']",8
101,"I was very impressed with the quality of the vanilla beans I received. Not only were they at least 60% less expensive than the beans in grocery/specialty stores, but the beans were plump and very flavorful. I also received my order very quickly (sooner than the seller stated). I will definitely be back to buy my next batch of vanilla beans here.","['impressed', 'vanilla', 'expensive', 'bean', 'store', 'bean', 'plump', 'flavorful', 'sooner', 'seller', 'batch', 'vanilla', 'bean']",8
106,I received the chicken pill pockets for my cat and he loves them. What an idea!! The order was fast and the price was fantastic!! This is where I will order them from now on!!!!! Thank you sooo much.,"['chicken', 'pill', 'pocket', 'cat', 'idea', 'price', 'fantastic', 'thank']",8
112,"This is fantastic corn, you don't need to add a thing to it, it is perfect right out of the can. Of course a couple of the cans were dented, to be expected with shipping. I am just sure to use those quickly. Great price with subscribe and save.","['fantastic', 'corn', 'thing', 'perfect', 'right', 'course', 'couple', 'can', 'sure', 'price', 'subscribe']",8
118,"I am a tuna snob!  This tuna is close in quality to the best tuna I have had and works well for making large qauntities when the best tuna is cost prohibitive.  I mix with cannelini beans, olive oil (generous amount) and chopped red onions for a great meal with greens or bread or both!","['tuna', 'snob', 'tuna', 'best', 'tuna', 'large', 'qauntities', 'best', 'tuna', 'prohibitive', 'cannelini', 'bean', 'olive', 'oil', 'generous', 'red', 'onion', 'meal', 'green', 'bread']",8
130,"Happy with this purchase, it's a good deal. It's the most fragrant coriander ever! Coriander is a super spice, tri-dosha (and a health supplement as well, research it, it's a ground cilantro seed). We use it in lots of dishes. Thank you!","['happy', 'purchase', 'deal', 'fragrant', 'coriander', 'coriander', 'super', 'spice', 'tri-dosha', 'health', 'supplement', 'research', 'ground', 'cilantro', 'seed', 'lot', 'dish']",8
131,"Pasta Knorr Sauce Parma Rosa Creamy Tomato / B000I2OOPW  Pardon me while I rave about how incredible this pasta mix is, but I'm just totally in love with this sauce. I love to eat pasta, but I am usually confined to the higher-fat alfredo sauces and cheese sauces because acidic tomato sauces irritate my acid reflux. That means no spaghetti and meatballs, which has been frustrating for me, but that's life, eh?  Then, while I was browsing the sauce aisle for Knorr alfredo packets, I found this Parma Rosa sauce. I have no idea what 'vodka sauce' is that the other reviewers reference, but whatever this is, it is GOOD. If I had to describe it, I'd call it a creamy tomato alfredo, but even though it is creamy, it is also very light and pleasing to taste, not cloying. The tomato taste is exquisite, and the acid content is low enough to prevent stomach pains. The taste itself is absolutely wonderful - I can actually talk myself out of impulse eating by promising myself Parma Rosa later - it's that good!  The Knorr sauces are fairly easy to make (the instructions are serious when they say to 'stir constantly', though, and I think it helps to preheat the milk before adding the powdered mix) and they store indefinitely in these dried packets (another reason to buy packets, besides the smaller carbon footprint in shipping versus jars!). Oh, and buying them on Amazon means I get them for half the price of the local market! For the Parma Rosa, I also add about a third of a pound of seasoned, browned ground beef as easy 'meatballs'. The portions are such that I can easily get two full meals out of one sauce packet, and the sauce stores perfectly in the fridge - this coming from a person who generally hates leftovers.  ~ Ana Mardoll","['pasta', 'knorr', 'sauce', 'parma', 'rosa', 'creamy', 'tomato', 'incredible', 'pasta', 'mix', 'love', 'sauce', 'pasta', 'higher-fat', 'alfredo', 'sauce', 'cheese', 'sauce', 'acidic', 'tomato', 'sauce', 'acid', 'reflux', 'spaghetti', 'meatball', 'life', 'eh', 'sauce', 'aisle', 'knorr', 'alfredo', 'packet', 'parma', 'rosa', 'sauce', 'idea', 'sauce', 'reviewer', 'creamy', 'tomato', 'alfredo', 'creamy', 'light', 'tomato', 'exquisite', 'acid', 'content', 'low', 'stomach', 'wonderful', 'impulse', 'eating', 'parma', 'rosa', 'knorr', 'sauce', 'easy', 'instruction', 'milk', 'powdered', 'mix', 'packet', 'reason', 'packet', 'smaller', 'carbon', 'footprint', 'versus', 'jar', 'mean', 'price', 'local', 'market', 'parma', 'rosa', 'pound', 'seasoned', 'ground', 'beef', 'easy', 'portion', 'meal', 'sauce', 'packet', 'sauce', 'store', 'fridge', 'person', 'leftover', 'mardoll']",8
134,Do you want people to think you ran out to the theater to buy popcorn? This product is great and has that theater taste.,"['people', 'theater', 'theater']",8
135,"Works well, taste is good, about to order a new box.  If you are a diabetic this is nice to have around the house or office.","['work', 'new', 'box', 'diabetic', 'house', 'office']",8
136,"Oil is very pleasant to the palate Fruity with a distint olive taste, which is what I was looking for. Excellent product. Far superior to any Italian EVO I have tried.","['oil', 'pleasant', 'palate', 'fruity', 'distint', 'olive', 'excellent', 'superior', 'italian', 'evo']",8
137,"I have ordered these types of chocolates before(Weinbrand Bohnen Brandy Chocolates) and these were fantastic, they had great flavor,were very fresh(sometimes they dry up if they are older),and were the perfect size(some larger ones are too big and the liquid can run if not all in your mouth),the chocolate as well as the brandy were of high quality and very tasty... Also the price was great for as many that were in the package... I ordered these very close to the holiday and they arrived earlier than expected!","['type', 'chocolate', 'weinbrand', 'bohnen', 'brandy', 'chocolate', 'fantastic', 'flavor', 'fresh', 'older', 'perfect', 'size', 'larger', 'one', 'big', 'liquid', 'mouth', 'chocolate', 'brandy', 'high', 'price', 'package', 'holiday']",8
141,I was expecting these cookies were going to be normal size but i was wrong!  i was planning on dipping them in chocolates but they r not those average size at all! So disappointed! I now have to go out n find the normal size cookies. What a  waste of money. I also needed 50 but 20 of them were broken. They do not put fragile on the box outside.,"['cooky', 'normal', 'size', 'wrong', 'chocolate', 'average', 'size', 'disappointed', 'normal', 'size', 'cooky', 'waste', 'money', 'box']",8
148,"this has a great taste, is good on mufins or toast, also great on vanilla ice cream. excellent! Will buy again","['mufins', 'toast', 'vanilla', 'ice', 'cream', 'excellent']",8
151,This company is VERY accommodating and was quick to re-ship my missing UPS shipped order.  The general manager took care of the problem personally and quickly.  This company definitely has my future business.  They have a fantastic product and even better customer service!,"['company', 'accommodating', 'quick', 're-ship', 'ups', 'general', 'manager', 'care', 'problem', 'company', 'future', 'business', 'fantastic', 'better', 'customer', 'service']",8
154,"I opened this product to find that the lollipops were all broke, I was very disappointed.  They did not package this product in a way that would help keep it from breaking.  You are better off buying them from a store around your area.","['lollipop', 'disappointed', 'way', 'better', 'store', 'area']",8
